Run,p_{inf},M_{inf},Gamma,r1,r2,r3,r4,wall-press,heat-flux
9.3000000000000000e+01,1.6893750000000001e+01,1.6020312000000001e+01,1.4726563000000000e-03,6.1874999999999999e-02,-1.0687500000000000e-01,-7.8125000000000000e-03,-1.8906249999999999e-01,5.7757910000000002e+03,3.3298590000000002e+05
9.4000000000000000e+01,1.7143750000000001e+01,1.4332812000000001e+01,1.0664063000000001e-03,4.6875000000000000e-02,-1.2187500000000000e-01,-1.2031250000000000e-01,1.9843749999999999e-01,4.6621350000000002e+03,2.1409160000000001e+05
9.5000000000000000e+01,2.1143750000000001e+01,1.6132812000000001e+01,1.5664063000000001e-03,-1.9312499999999999e-01,1.1812499999999999e-01,7.9687499999999994e-02,-1.5625000000000001e-03,7.2724499999999998e+03,2.9500740000000002e+05
9.6000000000000000e+01,2.3143750000000001e+01,1.5232811999999999e+01,1.8164062999999999e-03,1.6687500000000000e-01,2.3812500000000000e-01,-2.0312500000000001e-02,-1.0156250000000000e-01,7.1421300000000001e+03,3.2038240000000002e+05
9.7000000000000000e+01,1.9143750000000001e+01,1.7032812000000000e+01,1.3164063000000001e-03,-7.3124999999999996e-02,-1.8749999999999999e-03,1.7968750000000000e-01,9.8437499999999997e-02,7.4077629999999999e+03,3.5927640000000002e+05
9.8000000000000000e+01,2.0143750000000001e+01,1.4782813000000001e+01,1.6914062000000000e-03,1.0687500000000000e-01,1.7812500000000001e-01,1.2968750000000001e-01,1.4843750000000000e-01,5.8300420000000004e+03,2.4223850000000000e+05
9.9000000000000000e+01,2.4143750000000001e+01,1.6582812000000001e+01,1.1914062000000000e-03,-1.3312499999999999e-01,-6.1874999999999999e-02,-7.0312500000000000e-02,-5.1562499999999997e-02,8.8187350000000006e+03,3.4501020000000001e+05
1.0000000000000000e+02,2.2143750000000001e+01,1.3882811999999999e+01,1.4414062000000000e-03,2.2687499999999999e-01,-1.8187500000000001e-01,2.9687499999999999e-02,-1.5156249999999999e-01,5.6534359999999997e+03,2.2217739999999999e+05
1.0100000000000000e+02,2.0300000000000001e+01,1.5500000000000000e+01,1.5000000000000000e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.4853059999999996e+03,3.0402520000000001e+05
1.0200000000000000e+02,2.2300000000000001e+01,1.4600000000000000e+01,1.7500000000000000e-03,-1.2000000000000000e-01,1.2000000000000000e-01,-1.0000000000000001e-01,1.0000000000000001e-01,6.2959889999999996e+03,2.6907000000000000e+05
1.0300000000000000e+02,1.8300000000000001e+01,1.6399999999999999e+01,1.2500000000000000e-03,1.2000000000000000e-01,-1.2000000000000000e-01,1.0000000000000001e-01,-1.0000000000000001e-01,6.4877690000000002e+03,2.4311689999999999e+05
1.0400000000000000e+02,1.9300000000000001e+01,1.5050000000000001e+01,1.6249999999999999e-03,-1.7999999999999999e-01,1.7999999999999999e-01,1.4999999999999999e-01,-1.4999999999999999e-01,5.7971949999999997e+03,2.5448210000000001e+05
1.0500000000000000e+02,2.3300000000000001e+01,1.6850000000000001e+01,1.1249999999999999e-03,5.9999999999999998e-02,-5.9999999999999998e-02,-5.0000000000000003e-02,5.0000000000000003e-02,8.8169419999999991e+03,3.7665970000000001e+05
1.0600000000000000e+02,2.1300000000000001e+01,1.4150000000000000e+01,1.3749999999999999e-03,-5.9999999999999998e-02,-1.7999999999999999e-01,5.0000000000000003e-02,1.4999999999999999e-01,5.6474399999999996e+03,2.2877139999999999e+05
1.0700000000000000e+02,1.7300000000000001e+01,1.5949999999999999e+01,1.8749999999999999e-03,1.7999999999999999e-01,5.9999999999999998e-02,-1.4999999999999999e-01,-5.0000000000000003e-02,5.8610600000000004e+03,3.4179840000000002e+05
1.0800000000000000e+02,1.7800000000000001e+01,1.4824999999999999e+01,1.3125000000000001e-03,8.9999999999999997e-02,2.9999999999999999e-02,-1.2500000000000000e-01,-1.7499999999999999e-01,5.1805259999999998e+03,2.4814579999999999e+05
1.0900000000000000e+02,2.1800000000000001e+01,1.6625000000000000e+01,1.8125000000000001e-03,-1.4999999999999999e-01,-2.0999999999999999e-01,7.4999999999999997e-02,2.5000000000000001e-02,8.0095060000000003e+03,3.4778300000000000e+05
1.1000000000000000e+02,2.3800000000000001e+01,1.3925000000000001e+01,1.5625000000000001e-03,2.0999999999999999e-01,-8.9999999999999997e-02,-2.5000000000000001e-02,1.2500000000000000e-01,6.0810860000000002e+03,1.9540539999999999e+05
1.1100000000000000e+02,1.9800000000000001e+01,1.5725000000000000e+01,1.0625000000000001e-03,-2.9999999999999999e-02,1.4999999999999999e-01,1.7499999999999999e-01,-7.4999999999999997e-02,6.5388770000000004e+03,3.6874350000000000e+05
