Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
3.6000000000000000e+01,2.6247886283041422e+04,7.0271077523799773e+04,8.2283333331229485e+04,9.0476983435213915e+04,4.9534000000000000e-01,1.0280000000000000e+00,1.4610999999999999e-01,1.4621000000000001e-01,5.6515151515151518e-01
3.7000000000000000e+01,2.2096633910517863e+04,5.5635907337314566e+04,7.8397065374378028e+04,7.6439481654065952e+04,4.9861000000000000e-01,1.0156000000000001e+00,1.4846000000000001e-01,1.4846999999999999e-01,9.0757575757575748e-01
3.8000000000000000e+01,2.0091951652198233e+04,6.0030727687819395e+04,8.4604347417952929e+04,7.3787559491726715e+04,4.7112999999999999e-01,1.0357000000000001e+00,1.5953999999999999e-01,1.5956000000000001e-01,8.9848484848484855e-01
3.9000000000000000e+01,2.6704988211220585e+04,7.8920296684540110e+04,8.7180243236382797e+04,8.9613094982400682e+04,1.8521000000000001e-01,1.1882999999999999e+00,1.3159999999999999e-01,1.3236999999999999e-01,2.8636363636363638e-01
4.0000000000000000e+01,2.1507018570356671e+04,7.7721443083993334e+04,8.2923637339207518e+04,7.6003299190576348e+04,4.2871999999999999e-01,1.0752999999999999e+00,1.8010000000000001e-01,1.8063000000000001e-01,8.3636363636363642e-01
4.1000000000000000e+01,2.5578319028554470e+04,6.4045000830561592e+04,7.8459195006984140e+04,8.6540837241172136e+04,4.9213000000000001e-01,1.0337000000000001e+00,1.4717000000000000e-01,1.4724000000000001e-01,6.2878787878787890e-01
4.2000000000000000e+01,1.9287381631549175e+04,5.7136884241849781e+04,1.0297177067714199e+05,1.0642084344827288e+05,4.8696000000000000e-01,1.0248999999999999e+00,1.5415999999999999e-01,1.5415999999999999e-01,9.0454545454545443e-01
4.3000000000000000e+01,2.3691919074721882e+04,5.5202091750983775e+04,7.8217296968034221e+04,8.4713708563994558e+04,5.0156000000000001e-01,1.0129999999999999e+00,1.4602000000000001e-01,1.4602999999999999e-01,9.0151515151515127e-01
4.4000000000000000e+01,2.5954985169821222e+04,5.4012812129061676e+04,7.1505833058023272e+04,7.8083641060657363e+04,5.1124999999999998e-01,1.0025999999999999e+00,1.4172999999999999e-01,1.4174999999999999e-01,7.9545454545454541e-01
4.5000000000000000e+01,2.4371862369599359e+04,7.3210159935652366e+04,9.2671108709770735e+04,8.8233253431514022e+04,4.7221000000000002e-01,1.0454000000000001e+00,1.5942000000000001e-01,1.5945999999999999e-01,6.9090909090909092e-01
4.6000000000000000e+01,2.3432481809034372e+04,6.1541397590288325e+04,9.6064248247595475e+04,7.8802380541171602e+04,4.8236000000000001e-01,1.0307999999999999e+00,1.5412000000000001e-01,1.5412999999999999e-01,9.0454545454545465e-01
4.7000000000000000e+01,2.4718333986960897e+04,5.8518098973758832e+04,8.2896960877161779e+04,9.4522268186268848e+04,4.9687999999999999e-01,1.0179000000000000e+00,1.4702000000000001e-01,1.4704000000000000e-01,7.5757575757575768e-01
4.8000000000000000e+01,2.5578092403392668e+04,5.5774170605603045e+04,1.0252850898390554e+05,9.9925656429902476e+04,5.0643000000000005e-01,1.0085999999999999e+00,1.4291999999999999e-01,1.4291999999999999e-01,7.6666666666666672e-01
4.9000000000000000e+01,2.2878483018109186e+04,6.5281010173968629e+04,8.5637431230043221e+04,8.3028580992596064e+04,4.6901999999999999e-01,1.0459000000000001e+00,1.6062000000000001e-01,1.6066000000000000e-01,9.0606060606060612e-01
5.0000000000000000e+01,2.3078279629506367e+04,6.7288677919812544e+04,9.8616969791279174e+04,1.0061393100780431e+05,4.6704000000000001e-01,1.0478000000000001e+00,1.6145000000000001e-01,1.6145999999999999e-01,7.8333333333333333e-01
