Run,AE1,AE2,AE3,OIL,WATER,CO,CO2,VEL
3.1000000000000000e+01,2.2466325371268027e+04,6.1307612198519768e+04,1.0473059717643942e+05,5.4442999999999997e-01,1.0454000000000001e+00,7.7034199999999997e-02,3.8435999999999998e-01,6.3181818181818172e-01
3.2000000000000000e+01,1.9705489483105503e+04,7.7293348140197850e+04,7.1203119000889157e+04,5.3442000000000001e-01,1.0503000000000000e+00,7.9924499999999996e-02,3.9876000000000000e-01,6.5606060606060612e-01
3.3000000000000000e+01,2.1043589168749953e+04,7.4243656356097665e+04,9.2632157030102971e+04,5.3715000000000002e-01,1.0466000000000000e+00,7.9417199999999993e-02,3.9623000000000003e-01,6.2727272727272732e-01
3.4000000000000000e+01,1.9575203374968620e+04,7.9739059770512948e+04,8.9090756345790491e+04,5.2944000000000002e-01,1.0578000000000001e+00,8.2361599999999993e-02,4.1092000000000001e-01,6.3030303030303025e-01
3.5000000000000000e+01,2.0316755208830116e+04,6.9647238089146034e+04,1.0212914526413904e+05,5.3822999999999999e-01,1.0445000000000000e+00,7.8984200000000004e-02,3.9407999999999999e-01,6.4090909090909098e-01
3.6000000000000000e+01,2.6129863051927023e+04,6.7052503735434861e+04,8.5569181421063651e+04,5.5076999999999998e-01,1.0375000000000001e+00,7.4195800000000006e-02,3.7018000000000001e-01,5.3636363636363638e-01
3.7000000000000000e+01,2.0861276689088736e+04,5.5514024981224837e+04,9.6465325822507177e+04,5.4973000000000005e-01,1.0411999999999999e+00,7.5885800000000003e-02,3.7861000000000000e-01,6.3787878787878782e-01
3.8000000000000000e+01,1.9238694057362532e+04,6.3633456436442197e+04,8.3927359869434993e+04,5.4969000000000001e-01,1.0403000000000000e+00,7.6670299999999997e-02,3.8252000000000003e-01,6.8030303030303019e-01
3.9000000000000000e+01,2.6038943556866467e+04,5.4593680208278842e+04,9.9628147593847360e+04,5.5218000000000000e-01,1.0327999999999999e+00,7.3801199999999997e-02,3.6823000000000000e-01,5.3484848484848491e-01
4.0000000000000000e+01,2.0647549489851845e+04,6.0781761257310100e+04,8.7167938614924540e+04,5.5084999999999995e-01,1.0412999999999999e+00,7.6364399999999999e-02,3.8100000000000001e-01,6.5454545454545443e-01
4.1000000000000000e+01,2.4626821904873399e+04,5.9492660757384103e+04,7.7636155476440923e+04,5.5647000000000002e-01,1.0356000000000001e+00,7.4520199999999995e-02,3.7180000000000002e-01,6.0303030303030303e-01
4.2000000000000000e+01,2.6858442661369485e+04,7.0043298753711249e+04,8.0723257340614160e+04,5.5391000000000001e-01,1.0363000000000000e+00,7.3755100000000004e-02,3.6797999999999997e-01,5.1969696969696966e-01
4.3000000000000000e+01,2.6780550817954652e+04,7.8220145125901094e+04,7.6716592452033568e+04,5.5225999999999997e-01,1.0391999999999999e+00,7.4839600000000006e-02,3.7339000000000000e-01,4.8636363636363639e-01
4.4000000000000000e+01,1.8064237098685509e+04,7.3244739247145393e+04,1.0045646941551287e+05,5.3207000000000004e-01,1.0531999999999999e+00,8.0836199999999997e-02,4.0331000000000000e-01,6.6666666666666663e-01
4.5000000000000000e+01,1.9115610578378069e+04,5.5074010601413625e+04,9.1014754225805111e+04,5.5462999999999996e-01,1.0331999999999999e+00,7.4857300000000002e-02,3.7347999999999998e-01,7.1969696969696961e-01
4.6000000000000000e+01,2.3501325074817105e+04,6.7968839406224462e+04,7.0322984365387732e+04,5.5015999999999998e-01,1.0427999999999999e+00,7.5989799999999996e-02,3.7913000000000002e-01,6.1969696969696975e-01
4.7000000000000000e+01,2.4264934673019172e+04,7.9572010339412416e+04,1.0065998206994153e+05,5.3925999999999996e-01,1.0471999999999999e+00,7.8778799999999996e-02,3.9306999999999997e-01,5.5909090909090908e-01
4.8000000000000000e+01,1.9070206707576413e+04,6.3596917905609960e+04,7.8535047176853332e+04,5.5013999999999996e-01,1.0411999999999999e+00,7.6380000000000003e-02,3.8107000000000002e-01,6.9242424242424250e-01
4.9000000000000000e+01,2.3104447788001737e+04,7.0569759174922379e+04,8.0597342445845192e+04,5.4540000000000000e-01,1.0404000000000000e+00,7.6642799999999997e-02,3.8239000000000001e-01,6.1666666666666670e-01
5.0000000000000000e+01,2.5250430828897093e+04,7.5510280337888282e+04,9.7421662074840846e+04,5.4605999999999999e-01,1.0412999999999999e+00,7.6705800000000005e-02,3.8272000000000000e-01,5.5454545454545456e-01
5.1000000000000000e+01,2.1216312254109351e+04,5.5486571528838380e+04,9.4885922732782245e+04,5.5022000000000004e-01,1.0394000000000001e+00,7.5721700000000003e-02,3.7779000000000001e-01,6.3484848484848488e-01
5.2000000000000000e+01,2.7008186254327262e+04,5.8408489864978845e+04,7.4038228843681805e+04,5.6032000000000004e-01,1.0331999999999999e+00,7.2909699999999994e-02,3.6375999999999997e-01,5.1060606060606062e-01
5.3000000000000000e+01,2.6285787843200167e+04,6.7029555039862724e+04,9.9898762498852622e+04,5.4742999999999997e-01,1.0409999999999999e+00,7.4556300000000006e-02,3.7200000000000000e-01,5.2121212121212135e-01
5.4000000000000000e+01,2.5356662159212348e+04,5.9064375290728385e+04,7.8719410981800582e+04,5.5488999999999999e-01,1.0371999999999999e+00,7.4088100000000004e-02,3.6964000000000002e-01,5.8030303030303021e-01
5.5000000000000000e+01,1.8537000104498238e+04,7.0468048938819251e+04,9.7286451996084899e+04,5.3693999999999997e-01,1.0472999999999999e+00,7.9387200000000005e-02,3.9607999999999999e-01,6.5757575757575748e-01
5.6000000000000000e+01,2.2659842340153198e+04,5.4769529888987818e+04,1.0475319641328766e+05,5.4847000000000001e-01,1.0367999999999999e+00,7.5731599999999996e-02,3.7785999999999997e-01,5.8333333333333337e-01
5.7000000000000000e+01,2.2568481871952532e+04,6.2987252122820835e+04,7.6151126392256061e+04,5.4923999999999995e-01,1.0443000000000000e+00,7.5772500000000007e-02,3.7803999999999999e-01,6.1969696969696964e-01
5.8000000000000000e+01,2.3693742827115926e+04,6.9554391834098875e+04,9.6367018019926327e+04,5.4476000000000002e-01,1.0396000000000001e+00,7.6886499999999997e-02,3.8361000000000001e-01,6.0757575757575755e-01
5.9000000000000000e+01,1.9433353649183911e+04,6.3656822180229705e+04,7.5102596532622469e+04,5.5100000000000005e-01,1.0371999999999999e+00,7.5968099999999997e-02,3.7902000000000002e-01,6.9848484848484849e-01
6.0000000000000000e+01,2.5723883480933124e+04,6.3145861685728254e+04,7.9700133144372347e+04,5.5686000000000002e-01,1.0366000000000000e+00,7.4379500000000001e-02,3.7109999999999999e-01,5.6363636363636360e-01
6.1000000000000000e+01,1.8102243021408856e+04,7.5679642272358615e+04,8.7484212214392130e+04,5.3371999999999997e-01,1.0516000000000001e+00,8.0871999999999999e-02,4.0349000000000002e-01,6.7121212121212115e-01
6.2000000000000000e+01,2.2901493800108867e+04,7.7543347290021979e+04,9.5381210210385674e+04,5.3764999999999996e-01,1.0501000000000000e+00,7.9538399999999995e-02,3.9684000000000003e-01,5.9545454545454557e-01
6.3000000000000000e+01,2.4076807447433806e+04,5.8850138670123160e+04,8.9343852281257205e+04,5.5215000000000003e-01,1.0349999999999999e+00,7.5046199999999993e-02,3.7441999999999998e-01,6.0454545454545450e-01
6.4000000000000000e+01,2.6709912710080258e+04,7.0118545360349948e+04,9.8384231927596134e+04,5.4998999999999998e-01,1.0371999999999999e+00,7.4277700000000002e-02,3.7060999999999999e-01,5.0606060606060599e-01
6.5000000000000000e+01,2.6932419970287723e+04,7.7948819331565013e+04,7.7550710219052300e+04,5.5289999999999995e-01,1.0361000000000000e+00,7.4409199999999995e-02,3.7125000000000002e-01,4.8333333333333339e-01
6.6000000000000000e+01,1.8360501673283699e+04,6.6204853605799741e+04,7.0543223323936661e+04,5.4752000000000001e-01,1.0434000000000001e+00,7.6688800000000001e-02,3.8262000000000002e-01,6.8333333333333335e-01
6.7000000000000000e+01,2.2322765800175373e+04,7.9711833420584750e+04,7.8780798323051335e+04,5.3686999999999996e-01,1.0508999999999999e+00,7.9719700000000004e-02,3.9773999999999998e-01,6.0000000000000009e-01
6.8000000000000000e+01,2.1535079352203058e+04,6.5673015497267712e+04,9.9165953560758877e+04,5.4130000000000000e-01,1.0459000000000001e+00,7.7738000000000002e-02,3.8785999999999998e-01,6.3484848484848488e-01
6.9000000000000000e+01,2.5489612900366708e+04,6.6255492518253028e+04,8.3391022753267156e+04,5.5167999999999995e-01,1.0367000000000000e+00,7.4592599999999995e-02,3.7215999999999999e-01,5.5454545454545456e-01
7.0000000000000000e+01,2.6403037730593882e+04,7.4030186377456004e+04,9.5899286562001595e+04,5.4927999999999999e-01,1.0404000000000000e+00,7.5165999999999997e-02,3.7503999999999998e-01,5.2121212121212113e-01
7.1000000000000000e+01,2.6592969975084543e+04,6.7797793043728598e+04,9.7799527846933168e+04,5.5025999999999997e-01,1.0376000000000001e+00,7.4224799999999994e-02,3.7034000000000000e-01,5.1666666666666672e-01
7.2000000000000000e+01,2.2128413685017425e+04,7.6956857090898047e+04,8.3736791956071305e+04,5.3890000000000005e-01,1.0462000000000000e+00,7.9103000000000007e-02,3.9466000000000001e-01,6.1818181818181828e-01
7.3000000000000000e+01,2.4711109639832732e+04,8.0393605434073528e+04,8.8391166009275315e+04,5.4349000000000003e-01,1.0467000000000000e+00,7.8111100000000003e-02,3.8972000000000001e-01,5.5303030303030298e-01
7.4000000000000000e+01,2.1927555682629005e+04,5.9615339810662917e+04,8.1388750323080865e+04,5.5081999999999998e-01,1.0416000000000001e+00,7.5566200000000000e-02,3.7701000000000001e-01,6.0757575757575755e-01
7.5000000000000000e+01,1.9048492850481634e+04,6.4154423565079444e+04,8.1616536389065281e+04,5.4852999999999996e-01,1.0430999999999999e+00,7.6792600000000003e-02,3.8313000000000003e-01,6.9393939393939386e-01
7.6000000000000000e+01,2.1135157073884246e+04,7.6090380173805170e+04,8.8684936557741894e+04,5.3686999999999996e-01,1.0481000000000000e+00,7.9793699999999995e-02,3.9811000000000002e-01,6.2727272727272732e-01
7.7000000000000000e+01,2.2750605365744144e+04,7.4934105239729397e+04,7.4272804860422650e+04,5.4349000000000003e-01,1.0419000000000000e+00,7.7600100000000005e-02,3.8716000000000000e-01,6.2878787878787878e-01
7.8000000000000000e+01,2.3692062170903744e+04,6.3382980996720260e+04,8.1781717085970828e+04,5.5073000000000005e-01,1.0336000000000001e+00,7.5118599999999994e-02,3.7478000000000000e-01,6.1666666666666670e-01
7.9000000000000000e+01,2.3233339867949922e+04,7.7354955684997709e+04,7.7015664418137967e+04,5.4247999999999996e-01,1.0439000000000001e+00,7.8018100000000007e-02,3.8924999999999998e-01,6.1969696969696964e-01
8.0000000000000000e+01,2.4116197496407578e+04,7.8378465330171748e+04,7.7036476072111909e+04,5.4390000000000005e-01,1.0444000000000000e+00,7.7687199999999998e-02,3.8760000000000000e-01,5.7121212121212117e-01
8.1000000000000000e+01,2.0739716168065763e+04,6.7431012499813762e+04,1.0123334523591434e+05,5.3883000000000003e-01,1.0450999999999999e+00,7.8258800000000003e-02,3.9045999999999997e-01,6.5151515151515149e-01
8.2000000000000000e+01,2.2572765258974228e+04,6.1501641408198360e+04,8.8764554998699736e+04,5.4710999999999999e-01,1.0387000000000000e+00,7.5840900000000003e-02,3.7839000000000000e-01,6.1212121212121218e-01
8.3000000000000000e+01,2.3230027973361630e+04,6.5169846890485802e+04,7.0577171108060647e+04,5.4869999999999997e-01,1.0410999999999999e+00,7.5398900000000005e-02,3.7618000000000001e-01,6.0606060606060608e-01
8.4000000000000000e+01,2.4389749586136571e+04,6.7707240561663624e+04,8.3415751427896408e+04,5.4742999999999997e-01,1.0386000000000000e+00,7.5456800000000004e-02,3.7647000000000003e-01,5.9090909090909094e-01
8.5000000000000000e+01,1.8633942170701666e+04,6.3705244737454006e+04,7.8265821025904457e+04,5.5064999999999997e-01,1.0384000000000000e+00,7.6214400000000002e-02,3.8024999999999998e-01,7.0151515151515142e-01
8.6000000000000000e+01,1.9884420573270065e+04,7.6000186541265575e+04,8.3842013813579339e+04,5.3486999999999996e-01,1.0500000000000000e+00,8.0055600000000005e-02,3.9940999999999999e-01,6.4848484848484844e-01
8.7000000000000000e+01,1.8531462341854120e+04,6.4150143129139375e+04,9.7208046034941130e+04,5.4486000000000001e-01,1.0412999999999999e+00,7.7579599999999999e-02,3.8706000000000002e-01,6.9242424242424239e-01
8.8000000000000000e+01,1.9539645730737891e+04,7.8659032408960164e+04,8.1241778536777420e+04,5.3210000000000002e-01,1.0549999999999999e+00,8.1310300000000002e-02,4.0566999999999998e-01,6.4545454545454539e-01
8.9000000000000000e+01,2.1023931726594354e+04,5.9536405449268888e+04,9.6935532215384854e+04,5.4596000000000000e-01,1.0426000000000000e+00,7.6539300000000005e-02,3.8186999999999999e-01,6.6666666666666663e-01
9.0000000000000000e+01,1.8679437696150293e+04,7.9680416935847723e+04,7.5602088765288208e+04,5.3083999999999998e-01,1.0569000000000000e+00,8.1857399999999997e-02,4.0839999999999999e-01,6.4242424242424245e-01
9.1000000000000000e+01,2.0632887498402655e+04,7.2579357389045035e+04,7.5004478322031820e+04,5.4205999999999999e-01,1.0451999999999999e+00,7.8330499999999997e-02,3.9080999999999999e-01,6.6666666666666674e-01
9.2000000000000000e+01,2.2669069933962499e+04,7.3503040306215378e+04,1.0259744510076352e+05,5.3759000000000001e-01,1.0475000000000001e+00,7.8915100000000002e-02,3.9373999999999998e-01,6.0151515151515145e-01
9.3000000000000000e+01,2.4654505142546732e+04,7.4273395040136718e+04,8.4328405696785834e+04,5.4649999999999999e-01,1.0421000000000000e+00,7.6549599999999995e-02,3.8191999999999998e-01,5.6515151515151518e-01
9.4000000000000000e+01,2.0209173060985057e+04,6.8088171331992882e+04,7.7734279924614893e+04,5.4593000000000003e-01,1.0388999999999999e+00,7.7117500000000005e-02,3.8474999999999998e-01,6.5303030303030307e-01
9.5000000000000000e+01,2.5649708444782293e+04,7.1925817873475462e+04,9.8652722039380926e+04,5.4720999999999997e-01,1.0407000000000000e+00,7.5776899999999994e-02,3.7808999999999998e-01,5.2878787878787881e-01
9.6000000000000000e+01,2.5211951463325597e+04,6.6690531547933089e+04,8.0902660026090132e+04,5.5227999999999999e-01,1.0367000000000000e+00,7.4857099999999996e-02,3.7347999999999998e-01,5.6060606060606055e-01
9.7000000000000000e+01,2.4252715129564007e+04,8.0674878553763032e+04,9.7030783671219629e+04,5.3898999999999997e-01,1.0469999999999999e+00,7.8843499999999997e-02,3.9338000000000001e-01,5.5757575757575750e-01
9.8000000000000000e+01,2.5534137560848139e+04,7.3091349514812930e+04,9.0914634745230636e+04,5.4857999999999996e-01,1.0402000000000000e+00,7.5805899999999996e-02,3.7822000000000000e-01,5.6363636363636360e-01
