"GMT_0" "GMT_1" "GMT_12" "GMT_13" "GMT_14" "GMT_15" "GMT_16" "GMT_17" "GMT_18" "GMT_19" "GMT_20" "GMT_21" "GMT_22" "GMT_23"
3.31000336465931e-05 2.20409541072502e-05 1.00830402829008e-05 1.32010745700667e-06 6.42842518775588e-06 1.41833198840864e-05 2.53284465528118e-05 3.53696090436634e-05 4.07781610837089e-05 4.39105795766499e-05 4.41049764982288e-05 4.41876904316852e-05 4.32681054806531e-05 4.19004922932146e-05
3.73054401564075e-05 2.09915011120693e-05 8.68731714327168e-06 1.09306112568873e-06 5.64969559232549e-06 1.42380311874287e-05 2.77007916811006e-05 4.22066753153189e-05 5.19316349040296e-05 6.03413663368998e-05 6.59633566883004e-05 6.90640044132953e-05 6.8121901386412e-05 6.15065375268663e-05
6.75834397410209e-05 3.94396850252912e-05 1.60941221558049e-05 1.75123827163874e-06 8.66293320146743e-06 2.56703636241018e-05 4.68078586332755e-05 6.81290629696628e-05 8.54424612228851e-05 9.78170926220644e-05 0.000106458032019101 0.00011194872789681 0.000109790465801523 0.000102189893227437
4.00083655437088e-05 2.14560829567494e-05 6.71635494562228e-06 8.31717971417157e-07 6.52420851401415e-06 1.61721532338621e-05 3.24207396710209e-05 4.91031764147244e-05 6.15131325538485e-05 7.08559703771636e-05 7.62095550712443e-05 7.86734814554356e-05 7.58664182322114e-05 6.83251988185869e-05
3.80282497957662e-05 2.3392327201317e-05 1.18016160482105e-05 1.47480396581183e-06 5.4950278695642e-06 1.12226206109377e-05 1.95252090148632e-05 2.97060952637452e-05 3.9695621525551e-05 4.9227559372465e-05 5.64806440409837e-05 6.10905454323305e-05 6.17335542639165e-05 5.70849125890362e-05
4.49481922309825e-05 2.8936850422185e-05 1.43139431074352e-05 1.73824580399767e-06 6.57006262964492e-06 1.38178187910727e-05 2.4270062625381e-05 3.47533617706577e-05 4.39559221846997e-05 5.30024949262407e-05 5.97631080861191e-05 6.43939915463905e-05 6.61873185853595e-05 6.25976427292876e-05
3.77128570016682e-05 2.36810463689044e-05 1.21921795847738e-05 1.51997296467759e-06 5.66911835043905e-06 1.08993217964028e-05 1.98212346514721e-05 2.97762182300173e-05 3.93581796115378e-05 4.81457636075772e-05 5.46693971497444e-05 5.87949384119355e-05 5.95682092191892e-05 5.54160286629369e-05
5.33828509727942e-05 3.3911007028731e-05 1.61017574317145e-05 1.98658894883324e-06 7.67332963847905e-06 1.79198095753136e-05 2.84687702889137e-05 4.22807754427344e-05 5.23369649002806e-05 6.10250246517331e-05 6.55367103274539e-05 6.88714960748907e-05 6.97018524693844e-05 6.77484939843167e-05
3.27620853365265e-05 2.03162652609631e-05 8.81293240035893e-06 1.08312823811835e-06 5.22404632941429e-06 1.19029452142289e-05 2.08456650420694e-05 3.04788526467231e-05 3.72850334865231e-05 4.34821429363186e-05 4.74801468765209e-05 5.02298679841755e-05 5.06880642784858e-05 4.75054007122822e-05
4.2053297465944e-05 2.61116163159696e-05 1.27844405723172e-05 1.64969785737611e-06 6.10545812585901e-06 1.32871596532248e-05 2.43100107739805e-05 3.63912148062157e-05 4.58654235823744e-05 5.46386244016575e-05 6.08224808276688e-05 6.49214987261335e-05 6.56575646945223e-05 6.13127679631241e-05
5.94365567258761e-05 3.76092997602021e-05 1.71705190497201e-05 1.94445964013244e-06 8.53499827256116e-06 2.26938490975976e-05 4.04143146930396e-05 5.73081823633794e-05 6.99164933160406e-05 7.65682538030041e-05 7.88671147305949e-05 7.93965295363282e-05 7.88131282037466e-05 7.64709176465723e-05
3.82710130371583e-05 2.46251107668541e-05 1.23489871862843e-05 1.61628439006497e-06 5.83893708666246e-06 1.10871682433725e-05 2.05435838017916e-05 2.90999688927738e-05 3.72295848418017e-05 4.45106925628102e-05 5.00958228354721e-05 5.45675918143724e-05 5.62975153814473e-05 5.35835988027851e-05
4.43830579420907e-05 2.97583621753779e-05 1.48411398464189e-05 1.79302456776749e-06 7.68320287859744e-06 1.75282088440897e-05 2.88656728781059e-05 4.0359902753478e-05 4.78803981802302e-05 5.36536098902276e-05 5.64596229691036e-05 5.82112520611959e-05 5.85508458915565e-05 5.62363553619788e-05
4.85005395717644e-05 2.8728454610894e-05 1.24988331192368e-05 1.51879264917244e-06 6.94716076682669e-06 1.71093134351083e-05 2.9779319063454e-05 4.25322464002934e-05 5.28954339158263e-05 6.39685205260162e-05 7.22466093584606e-05 7.91623696294427e-05 8.01675907986155e-05 7.45301208720827e-05
3.31552896131571e-05 2.04041668444624e-05 1.01002805612744e-05 1.26586538691465e-06 4.60027988192059e-06 8.70864919065491e-06 1.58047019670728e-05 2.36185592793016e-05 3.22541661299724e-05 3.99768696711939e-05 4.5850573580867e-05 5.0742952201429e-05 5.25586924129914e-05 4.94621031139207e-05
4.38593117923706e-05 2.81041377137855e-05 1.35540115423015e-05 1.73143871893822e-06 6.50856053438468e-06 1.29388026813507e-05 2.26705768701822e-05 3.29134468528932e-05 4.13513123676299e-05 4.99428559854679e-05 5.59827699119475e-05 6.06934627743024e-05 6.25914943447141e-05 5.99443351813652e-05
3.56740286738308e-05 2.03253358802417e-05 8.23085933164399e-06 1.02672429895374e-06 5.26940107994914e-06 1.17910171277876e-05 2.14508400497548e-05 3.13605515554055e-05 4.18961225724461e-05 5.42813833402519e-05 6.46684043679156e-05 7.23356898252955e-05 7.42741284128847e-05 6.76842172931668e-05
5.19689396479192e-05 2.95929387096797e-05 1.12398420870105e-05 1.3501124230734e-06 6.90183462262789e-06 1.85346146686636e-05 3.5524884614614e-05 5.21242197182411e-05 6.59097820293612e-05 7.6741661385423e-05 8.40701874066821e-05 8.80648554398398e-05 8.6939264363867e-05 8.06839814237414e-05
4.33251963054463e-05 2.72112723386312e-05 1.24520412930424e-05 1.55937909421023e-06 6.58424078396119e-06 1.37251397222571e-05 2.58521164376692e-05 3.76903403146231e-05 4.69800943139576e-05 5.50871193083454e-05 6.07225047228967e-05 6.39917198353311e-05 6.51936203448452e-05 6.13996349841961e-05
4.33813047295086e-05 2.52108125036497e-05 1.12412667045198e-05 1.37756869322547e-06 5.99470876421322e-06 1.47078069043342e-05 2.64627256164818e-05 4.01616591905791e-05 5.10747444926173e-05 6.10146611567306e-05 6.80513281129597e-05 7.29330966153035e-05 7.35660637443927e-05 6.79502305312273e-05
4.19526973752011e-05 2.64991189268345e-05 1.32652651524669e-05 1.66354610259127e-06 6.40187034504941e-06 1.25129637141429e-05 2.23370117718161e-05 3.2666711836268e-05 4.16531898880111e-05 5.20842678115224e-05 5.96984882281148e-05 6.57617082064587e-05 6.74388148087876e-05 6.29602702491242e-05
1.73718092708802e-05 1.13444064476645e-05 4.95842140889117e-06 6.57780171944951e-07 3.75687221056549e-06 8.54945560472411e-06 1.64602688431742e-05 2.19521559851781e-05 2.53178327243464e-05 2.74866212481578e-05 2.79812442675287e-05 2.87719857259487e-05 2.81347388430053e-05 2.58006823667083e-05
3.7916572211204e-05 2.45047262586504e-05 1.21421561343175e-05 1.53080166713372e-06 6.01246973133575e-06 1.24766542639008e-05 2.18371556818367e-05 3.12292846766295e-05 3.88099301359612e-05 4.59360952756755e-05 5.09054339440479e-05 5.48083922810632e-05 5.59082183614247e-05 5.27576481248009e-05
3.25913811632229e-05 2.13822330669177e-05 1.06096141327341e-05 1.36074901413355e-06 5.66537561056407e-06 1.11124047584083e-05 1.96841946032654e-05 2.78325481513612e-05 3.4442810095894e-05 4.00451664320753e-05 4.35953448499229e-05 4.62281706388052e-05 4.6858706213552e-05 4.44277684777825e-05
2.32856998871026e-05 1.50235816527846e-05 7.14686892828605e-06 9.32583229043311e-07 3.87887947200698e-06 7.75726513858369e-06 1.37510925201576e-05 1.89694409406311e-05 2.39035868655369e-05 2.85017347310432e-05 3.21060696544665e-05 3.52865333414352e-05 3.66370536370797e-05 3.46216685999128e-05
