"GMT_0" "GMT_1" "GMT_12" "GMT_13" "GMT_14" "GMT_15" "GMT_16" "GMT_17" "GMT_18" "GMT_19" "GMT_20" "GMT_21" "GMT_22" "GMT_23"
6520.4532675359 8520.96716309531 11713.5710136057 12384.7104503431 7978.67112689735 5242.54316224652 4019.17535826903 3606.89169373914 3448.36205155641 3493.26510791593 3595.44947401121 3736.72015088419 4063.52111713511 4572.17199942583
2328.2255283219 2946.48049373529 4101.12190881016 4320.94411197524 2609.9325142362 1759.2072656549 1351.37058050858 1255.3816079675 1252.1465731452 1308.04289163578 1363.93240475799 1420.18157398244 1540.14736545755 1712.70654027127
25663.500130193 28166.9532504451 31607.6191516802 31983.3827479301 24533.7100778715 19447.1083045 17396.2989539865 16707.3637490905 15872.8439084481 15567.6755053903 15930.028498925 16674.4620953085 18323.5858973982 20809.8437924963
3658.60476625382 3990.52943532852 4514.4550147481 4716.74132858377 3845.58940441336 3143.99104497116 2739.73212004808 2625.52241727055 2615.11662476835 2695.95801265736 2816.71300483451 2952.28792587939 3096.26632594828 3221.4794747343
6455.43251891655 8225.64736665574 10897.0407764263 10985.913818658 6478.44585439496 4284.27111612956 3465.07764041175 3212.75149857683 2965.48841684908 2874.4429748231 2829.32073466464 2931.06074487997 3195.1698366668 3686.64229158861
9417.49176873709 10547.6114816442 12397.8236027901 12323.5999555585 8166.66590783065 5944.09310465366 5130.60851396194 4876.58750944965 4624.33137145554 4641.44359100671 4843.22408686266 5175.63872427213 5773.60044046171 6703.00535541068
3124.54258631195 4737.94383998283 8485.76792538127 8752.61754976757 3783.87364240571 2111.66749043327 1450.56630750085 1346.81375469589 1354.01847961139 1451.44782022248 1536.36348166639 1605.01225118089 1751.23011017222 1976.66405621208
13032.1191141145 13843.7612485397 14860.1157914828 15336.5296776381 13172.4351301909 11254.7735785729 10356.8892752101 10293.8930461163 10477.7334609197 10798.1260338718 11144.9810730312 11455.5579959717 11810.1314484811 12142.7468364848
4823.39894916096 5342.33864290117 6045.24114702846 6335.0657533561 5234.15289226576 4274.8977405068 3717.27347387186 3534.12610640276 3491.74981287069 3551.77971740096 3642.82941097325 3738.62530650402 3904.15923273566 4121.33172893802
4534.07161364649 4890.91792025927 5370.62154960449 5607.39290609589 4812.68977525668 4079.48692344012 3629.24405829171 3482.67234410601 3452.89644946913 3511.05218227201 3598.59569725815 3690.19808495309 3832.52782953829 4007.68353922756
2848.01597165023 3091.34506144931 3843.52220880597 3904.86119556327 2527.35576264678 1855.70289525005 1555.25982069401 1544.12596374193 1640.26324298565 1812.70230428504 1990.09811148427 2165.64588373106 2343.59061804574 2492.76885353647
