Run,ISC,IS,n,RS,RP,Pmax,dISC,dIS,dn,dRS,dRP
3.7000000000000000e+01,1.4273393945766744e-01,2.7791032498075094e-08,1.7455571222467765e+00,5.3329653307989244e-01,2.1353803304713892e+02,6.5920369009015670e-02,4.0330791692411161e-02,-2.5954976792808004e-02,2.1025212876280008e-02,-3.9963120174180133e-03,7.0148001296566065e-04
3.8000000000000000e+01,1.9193765749970451e-01,1.5559851663708234e-10,1.5926242622903726e+00,5.6672807680088821e-01,1.4946220590333371e+02,1.1308404391407814e-01,4.9376738447959312e-02,-3.2263676508215156e-02,4.0086177446885252e-02,-7.4513174241896962e-03,2.1954535966983713e-03
3.9000000000000000e+01,7.5489269840938747e-02,1.4399151164689503e-10,1.2561172419407747e+00,2.6555180717179866e-01,3.2115860746516546e+02,3.7335305177365948e-02,4.6578982698664007e-02,-1.0102715192195078e-02,1.5016931621814056e-02,-1.1772575553292697e-03,3.7782582618106630e-04
4.0000000000000000e+01,9.8585525233622240e-02,3.3237722536024016e-08,1.0713397393279831e+00,6.2393398109632048e-01,2.7070647836787737e+02,2.5611833824195546e-02,2.1436890391274277e-02,-1.0981338751520076e-02,1.4040702992629273e-02,-1.8881703145456896e-03,1.3053990527422954e-04
4.1000000000000000e+01,1.6241451511426094e-01,2.6425573819371477e-10,1.6177875472926528e+00,6.1393094502957235e-01,1.5978428596540840e+02,9.4190807617412192e-02,4.9405617416620196e-02,-2.7585410816710620e-02,3.2469006427948699e-02,-5.2896811375546804e-03,1.8987548616733463e-03
4.2000000000000000e+01,1.1803254440284977e-01,4.6300698881296722e-08,1.0729138197136066e+00,4.5735731122070311e-01,9.8505701547173501e+01,3.0570001446926766e-02,2.2295444355308058e-02,-1.2858918822106213e-02,1.6143212419605923e-02,-2.6132411477808315e-03,1.0309597064939169e-03
4.3000000000000000e+01,2.3189510701081797e-01,2.1452024561477205e-07,1.1291133503227808e+00,5.0585901274423462e-01,1.8925947182473607e+02,4.8774180537652374e-02,1.3798548040289127e-02,-2.5810375975376942e-02,2.9906847720528873e-02,-9.3419140270722956e-03,1.3960272521318373e-04
4.4000000000000000e+01,1.6597644293873429e-01,8.3931950005356325e-10,1.8011276430853655e+00,5.8260758176288696e-01,1.9767635435041575e+02,1.0161428601936962e-01,5.2745924766783858e-02,-3.1530719799000018e-02,3.1266446723354768e-02,-5.5572848961515930e-03,1.3999336828662834e-03
4.5000000000000000e+01,8.1481006085927760e-02,8.7295791935730610e-08,1.4839143211685304e+00,5.4272647043303857e-01,3.2070798782865461e+02,2.8646657654540008e-02,3.1967326015458486e-02,-1.2550650709680644e-02,1.0454066275839002e-02,-1.2915960766191059e-03,1.8931113621167839e-04
4.6000000000000000e+01,1.0961489118639517e-01,2.9227808249493662e-09,1.0550294765584183e+00,4.5461932026231400e-01,2.4263559048214864e+02,3.5689417031515944e-02,2.8163456566865364e-02,-1.2276714651815457e-02,1.8806278340166571e-02,-2.4404384624254760e-03,2.6432336874826490e-04
4.7000000000000000e+01,8.6067062805905287e-02,4.6927259914138764e-11,1.6667832813487840e+00,3.6572795523327389e-01,1.4552109604225720e+02,5.7985204732163578e-02,6.5583244966693766e-02,-1.4135156552186334e-02,1.6862202821543715e-02,-1.3588386665874808e-03,3.6400337327657795e-03
4.8000000000000000e+01,1.8910973775473933e-01,1.0390113284289570e-09,1.0538637398948003e+00,1.8750782293825299e-01,2.7452532163950866e+02,7.1556591752395787e-02,3.3784936848135771e-02,-2.1664408961230563e-02,3.6390888080717332e-02,-7.5823682887943278e-03,2.8469863966318343e-04
4.9000000000000000e+01,1.9557930432517576e-01,2.6184220623539609e-11,1.7981067324382738e+00,1.9095136598590115e-01,1.4109963703332124e+02,1.5761782379658254e-01,7.5752195877187845e-02,-3.6993339058710717e-02,4.4035015911436659e-02,-7.7751806937254031e-03,5.1945765466854255e-03
5.0000000000000000e+01,2.1225024586089900e-01,8.8819404686452857e-08,1.6215226816220134e+00,3.1752252977557166e-01,1.5286151836292953e+02,8.5832619926646633e-02,3.5358884584169026e-02,-3.5864205438773666e-02,2.9576217211446654e-02,-8.8194539032970809e-03,1.0535083222462660e-03
5.1000000000000000e+01,8.8800280390577274e-02,6.9543797391886150e-10,1.4214899702322490e+00,5.3303855438116332e-01,2.0633070977580803e+02,4.3354268358482204e-02,4.4669589027712675e-02,-1.3128554555985605e-02,1.5971641738332654e-02,-1.5612575746115631e-03,8.7538115645102721e-04
5.2000000000000000e+01,1.3660515944463944e-01,2.4535605758357670e-11,1.1431592723232349e+00,3.1845876613200241e-01,9.4083512577183626e+01,6.6004248049964534e-02,4.4457319534063622e-02,-1.6051942164363453e-02,2.9696458139771842e-02,-3.6508124440226553e-03,4.1415693791124752e-03
5.3000000000000000e+01,2.0393658821914065e-01,2.2234255955709953e-09,1.6194557406866839e+00,3.4276769602647295e-01,2.5897890361415239e+02,1.1019566425134575e-01,4.7237499731234145e-02,-3.5447702384505675e-02,3.7315148013195021e-02,-8.6195939275057754e-03,6.4230931684505777e-04
