run, p_{inf}, M_{inf}, gamma, r1, r2, r3, r4, p_{st}, q_{st}
6.500000e+01, 2.043798e+01, 1.661225e+01, 1.915625e-03, -1.428292e-01, -1.746873e-02, -1.348027e-01, 3.580895e-02, 7.473271e+03, 3.175968e+05
6.600000e+01, 1.706005e+01, 1.682509e+01, 1.248723e-03, 1.450395e-03, 2.243652e-01, 4.800225e-02, 4.387997e-02, 6.422404e+03, 3.054353e+05
6.700000e+01, 2.061719e+01, 1.700079e+01, 1.173806e-03, -1.836567e-02, 9.030530e-02, 9.657053e-02, -5.355746e-02, 7.950791e+03, 3.720585e+05
6.800000e+01, 2.319955e+01, 1.659780e+01, 1.836744e-03, 2.436809e-01, 3.878893e-02, -1.857904e-01, -2.307830e-01, 8.477138e+03, 3.499444e+05
6.900000e+01, 1.781626e+01, 1.617925e+01, 1.121825e-03, -7.921422e-03, 9.512024e-02, 1.265268e-01, 4.730626e-02, 6.165274e+03, 2.669767e+05
7.000000e+01, 2.160580e+01, 1.693085e+01, 1.234960e-03, 3.719646e-03, -1.259428e-01, -4.158596e-02, -6.411772e-02, 8.248763e+03, 3.618183e+05
7.100000e+01, 1.967441e+01, 1.579659e+01, 1.651704e-03, 1.756772e-01, 3.203955e-02, -2.857184e-03, -2.540929e-02, 6.543302e+03, 3.562377e+05
7.200000e+01, 1.919820e+01, 1.410858e+01, 1.664367e-03, 2.158294e-01, 6.826156e-02, 2.210847e-01, 1.307024e-01, 5.084432e+03, 2.515799e+05
7.300000e+01, 1.771376e+01, 1.674358e+01, 1.524827e-03, 1.457898e-01, 1.802613e-01, -6.921330e-04, 3.792284e-03, 6.599335e+03, 3.118337e+05
7.400000e+01, 2.064647e+01, 1.562027e+01, 1.988196e-03, 7.750039e-02, 2.814292e-02, 6.524180e-02, 1.644997e-01, 6.704984e+03, 3.469314e+05
7.500000e+01, 2.363736e+01, 1.446963e+01, 1.218120e-03, 8.974481e-02, 9.114152e-02, -3.188195e-02, 3.371470e-02, 6.553283e+03, 2.581075e+05
7.600000e+01, 2.211690e+01, 1.573312e+01, 1.493482e-03, 1.692751e-01, -7.199691e-02, -8.056004e-02, 6.715584e-02, 7.295074e+03, 3.687072e+05
7.700000e+01, 1.989329e+01, 1.596369e+01, 1.965955e-03, 2.658461e-02, -1.042008e-01, 1.119032e-01, -5.242421e-02, 6.740124e+03, 3.468825e+05
7.800000e+01, 2.092956e+01, 1.391451e+01, 1.628175e-03, 5.125685e-02, 5.717386e-02, 1.404382e-01, 5.781696e-02, 5.367673e+03, 2.183059e+05
7.900000e+01, 2.398380e+01, 1.586355e+01, 1.316648e-03, 1.163604e-01, 8.546966e-02, -7.052030e-02, 1.709351e-02, 8.028619e+03, 3.702775e+05
8.000000e+01, 2.418052e+01, 1.591942e+01, 1.426877e-03, -2.701483e-02, -3.314054e-02, 9.177950e-02, -1.144801e-02, 8.110791e+03, 3.225010e+05
8.100000e+01, 1.852883e+01, 1.506761e+01, 1.215868e-03, 2.005828e-01, 1.194550e-02, 3.127794e-02, 2.560537e-02, 5.575108e+03, 2.430002e+05
8.200000e+01, 2.278246e+01, 1.439059e+01, 1.634560e-03, 5.416531e-02, 3.349258e-02, -1.121447e-01, -1.790654e-03, 6.259255e+03, 2.713046e+05
8.300000e+01, 2.007926e+01, 1.719478e+01, 1.065865e-03, -4.891814e-02, -5.812335e-02, -6.471974e-02, 2.032084e-01, 7.914456e+03, 3.645389e+05
8.400000e+01, 2.025544e+01, 1.721729e+01, 1.828040e-03, 3.697774e-02, -9.749581e-02, -2.271635e-02, -1.497617e-01, 8.009419e+03, 3.961159e+05
8.500000e+01, 1.998233e+01, 1.630169e+01, 1.601000e-03, -1.327400e-01, -4.542163e-02, -9.147805e-02, -1.937742e-01, 7.025088e+03, 3.106503e+05
8.600000e+01, 1.873314e+01, 1.511789e+01, 1.480714e-03, 1.258575e-01, -1.207394e-01, -3.859526e-02, -4.693406e-02, 5.667559e+03, 2.456119e+05
8.700000e+01, 1.717882e+01, 1.382324e+01, 1.407999e-03, 7.218856e-02, 1.376482e-01, 1.676619e-01, 3.055529e-02, 4.335918e+03, 1.794924e+05
8.800000e+01, 1.796885e+01, 1.394876e+01, 1.225477e-03, -2.437206e-01, -1.348991e-01, 1.019284e-01, -8.341845e-02, 4.584195e+03, 1.645129e+05
8.900000e+01, 2.361997e+01, 1.622284e+01, 1.957775e-03, 8.327608e-02, -9.043006e-02, 2.605886e-02, -1.554619e-01, 8.198084e+03, 2.949703e+05
9.000000e+01, 2.406926e+01, 1.672977e+01, 1.686030e-03, -3.345719e-01, -1.837738e-01, -1.474396e-01, 1.342924e-01, 8.957853e+03, 3.697963e+05
9.100000e+01, 2.129707e+01, 1.715934e+01, 1.923313e-03, 1.544552e-01, 1.624553e-01, -6.680951e-02, -1.293562e-01, 8.363509e+03, 4.083549e+05
9.200000e+01, 2.263816e+01, 1.712547e+01, 1.290965e-03, 1.381985e-02, 1.143617e-01, -1.030805e-01, -7.933489e-02, 8.856570e+03, 4.005425e+05
9.300000e+01, 2.230997e+01, 1.481334e+01, 1.855066e-03, 6.046001e-02, -4.990767e-02, 1.061153e-01, -1.064164e-01, 6.476282e+03, 2.508082e+05
9.400000e+01, 1.959442e+01, 1.420298e+01, 1.804932e-03, 1.380492e-01, -1.143265e-01, -1.234116e-01, -8.783975e-02, 5.225411e+03, 2.189186e+05
9.500000e+01, 1.793230e+01, 1.510708e+01, 1.700039e-03, -2.136764e-01, 1.231977e-01, -1.290143e-01, -1.233760e-01, 5.403074e+03, 2.294465e+05
9.600000e+01, 2.285030e+01, 1.442523e+01, 1.552635e-03, 1.815440e-01, -1.413397e-01, -5.498182e-02, -1.395744e-01, 6.305752e+03, 2.702253e+05
9.700000e+01, 2.326223e+01, 1.602999e+01, 1.744146e-03, -2.065375e-02, -6.834598e-02, 7.070158e-02, -7.585668e-02, 7.906922e+03, 3.221274e+05
