,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,997.904502968,924.282002557,416.46972003,406.553278085,416.608854728,441.161253798,464.300347227,485.750002202,523.091824426,578.645586596,578.487087855,536.412171735,508.937815343,487.206338331,445.717481304,432.824938902,419.48676934,405.08656487,388.803349308,344.768813474,166.231335271
11,998.617942806,924.866233493,403.232278221,405.33761575,415.785362821,441.183435199,465.0891714,487.273811671,526.003886119,583.602118648,585.298496233,549.417527383,521.899163121,499.539771988,455.147906736,440.709307614,425.335133598,408.150745059,387.867393266,327.461986706,5.46014725385
12,998.806166316,923.7366226,414.566542055,393.936081207,403.791923165,428.002498879,450.861825937,472.006971783,508.535635187,560.89342682,556.981611906,504.008952661,473.845535988,449.273503284,397.347292764,378.658881052,357.196303624,330.71262691,294.997728879,143.471836845,0.0999999243063
13,999.796723537,957.07929954,469.140121229,421.970726601,431.996995721,456.705284297,480.220356824,502.235646448,541.257737814,603.506259756,610.295873008,570.244250796,534.46809889,501.828825499,415.310349229,373.33362399,312.129525674,206.038869048,9.59831034465,0.0999999853997,0.0999999853997
14,999.030201792,949.178107583,452.945694021,412.744517483,423.033111916,448.355757828,472.396391849,494.82941512,534.329994975,595.415258569,598.415349147,565.600897468,539.781129203,519.642573694,483.66595632,473.53685935,463.721975052,453.930356066,443.871978419,421.580722115,373.66262057
15,999.977261783,937.614001273,405.940342309,401.21921206,411.872573842,437.846122699,462.411654513,485.34022117,525.796060915,588.197119694,592.519676183,560.359716248,529.662086236,503.036961878,442.946815852,419.774898039,391.883220008,355.291154704,301.574585431,30.0542344967,0.0999994852087
16,1000.40077073,966.796362187,495.356174033,422.613842271,432.938157281,458.52835136,482.937745142,505.78480177,546.171711762,609.036385483,613.743170135,571.073678518,532.781124864,497.320154177,398.721415491,347.204318839,266.709534065,115.075244324,0.0999999546323,0.0999999546323,0.0999999546323
17,1000.17972732,900.449688091,356.4713121,397.600543402,408.993329458,436.471854271,462.272248955,486.247636944,528.222181895,588.992610816,593.404506549,567.890575195,536.271622172,507.512093544,436.116055607,404.910535098,363.464364766,300.958875902,188.260728129,0.0999999838025,0.0999999838025
18,997.236480014,966.287795253,605.580907227,441.257876166,449.12425149,470.030394612,490.651077396,510.132787365,544.746872922,601.834151301,610.962674381,569.169982792,545.492997542,528.020433026,499.314332093,492.022068216,485.375475238,479.192726363,473.330927569,462.11180529,445.049475637
19,1000.87718,936.436364114,393.70422962,409.359361359,420.660259587,448.05983466,473.920756326,498.074821794,540.784829569,605.579070532,611.59495319,587.609263326,552.096801336,517.651922132,416.214270022,359.682356968,265.993307185,76.7936312615,0.0999997959348,0.0999997959348,0.0999997959348
20,999.779629279,929.662258981,408.308674914,405.178086403,415.849859043,441.862050165,466.391271239,489.178276642,529.020899849,588.928671034,592.502654095,559.462851128,530.676135307,506.441728092,455.251877786,437.195165349,416.839991801,392.364622661,360.548049965,238.813721159,0.0999996119591
21,999.482829459,953.895819127,462.441683515,419.914820596,429.832837753,454.246597318,477.464742573,499.191781594,537.668076241,598.628172852,603.234693817,554.628427039,511.181657936,467.063934659,298.001225324,155.130819239,0.0999996719012,0.0999996719012,0.0999996719012,0.0999996719012,0.0999996719012
22,1000.88004523,909.591156672,361.088741752,394.234734249,405.644972991,433.239527394,459.202278274,483.358676755,525.710689267,587.001953248,587.677457918,544.866752752,497.787127081,446.896381202,206.496255018,0.0999996331795,0.0999996331795,0.0999996331795,0.0999996331795,0.0999996331795,0.0999996331795
23,998.625305121,950.734724494,472.388520832,425.119454629,434.851560265,458.871494563,481.731894314,503.116836457,540.992592778,602.199206781,610.375441736,585.170807554,564.331714918,549.198621141,526.343405532,521.185454149,516.79178971,512.999290168,509.687808537,504.167649201,497.81320957
24,999.136966817,929.330964876,403.340934407,401.846086836,412.18289767,437.364090005,461.143805513,483.299794447,522.29407235,582.607615433,586.568846085,544.220313664,505.662861194,467.863457787,341.392470708,254.072670038,79.2522864363,0.099999291335,0.099999291335,0.099999291335,0.099999291335
