Run,Cs,Pr_t,Sc_t,ave_T0,ave_T1,ave_T2,rms_T0,rms_T1,rms_T2,ave_w0,ave_w1,ave_w2,rms_w0,rms_w1,rms_w2,ave_mixFrac0,ave_mixFrac1,ave_mixFrac2,rms_mixFrac0,rms_mixFrac1,rms_mixFrac2,ave_P0,ave_P1,ave_P2,rms_P0,rms_P1,rms_P2,ave_rho0,ave_rho1,ave_rho2,rms_rho0,rms_rho1,rms_rho2
2.1000000000000000e+01,2.0549999999999999e-01,1.7000000000000000e+00,5.0000000000000000e-01,-8.8403200000000001e-02,-2.6706000000000001e-02,-1.0079599999999999e-02,1.7998000000000000e-01,5.6509299999999998e-02,2.9124000000000001e-02,-9.3156100000000002e-03,-1.3462200000000001e-02,9.5558199999999996e-03,4.0076400000000001e-01,2.2181200000000001e-01,1.6852000000000000e-01,5.8034799999999997e-01,1.0154799999999999e+00,1.3361000000000001e+00,4.0838900000000000e-01,3.4257199999999999e-01,4.2075800000000002e-01,8.4347600000000000e-01,7.1660900000000005e-01,6.3082899999999997e-01,1.1711900000000000e-01,9.3494300000000002e-02,9.5781400000000003e-02,7.9272900000000002e-01,6.9455000000000000e-01,6.5219099999999997e-01,9.7755599999999998e-02,4.7846600000000003e-02,4.0948600000000002e-02
2.2000000000000000e+01,2.0549999999999999e-01,5.0000000000000000e-01,1.7000000000000000e+00,-2.5775500000000000e-02,-4.0162900000000001e-02,-1.2845000000000001e-02,9.5207299999999995e-02,7.0567900000000003e-02,2.5522400000000001e-02,2.9431700000000002e-02,-1.0353599999999999e-02,-1.1719100000000000e-02,2.1970999999999999e-01,2.3193000000000000e-01,1.6826500000000000e-01,1.2114900000000001e-01,5.1805199999999996e-01,8.1638699999999997e-01,2.2639599999999999e-01,3.0147099999999999e-01,3.2536500000000002e-01,9.7538400000000003e-01,8.6212400000000000e-01,7.7465700000000004e-01,6.6797700000000002e-02,8.7459999999999996e-02,9.2226299999999997e-02,9.4490399999999997e-01,8.0045400000000000e-01,7.2977499999999995e-01,8.1970899999999999e-02,7.3894100000000004e-02,5.4328200000000000e-02
2.3000000000000000e+01,2.0549999999999999e-01,1.7000000000000000e+00,1.7000000000000000e+00,-9.0715799999999999e-02,-3.4394700000000000e-02,-1.1420500000000000e-02,1.8889300000000001e-01,5.6980299999999998e-02,2.8254999999999999e-02,-2.7046499999999998e-03,6.8071599999999996e-03,-1.1274400000000000e-02,3.9529100000000000e-01,2.3508799999999999e-01,1.8200200000000000e-01,5.6813899999999995e-01,1.0245100000000000e+00,1.4657199999999999e+00,4.1005900000000001e-01,4.1284700000000002e-01,5.6230899999999995e-01,8.4701400000000004e-01,7.1617399999999998e-01,6.0354900000000000e-01,1.1662200000000000e-01,1.0934199999999999e-01,1.1510700000000000e-01,7.9598500000000005e-01,6.9598099999999996e-01,6.4077300000000004e-01,9.8350400000000004e-02,5.6308100000000000e-02,4.9292700000000002e-02
2.4000000000000000e+01,2.0549999999999999e-01,1.1000000000000001e+00,6.7573593099999996e-01,-7.4347999999999997e-02,-3.2739699999999997e-02,-1.1077300000000000e-02,1.7344999999999999e-01,5.9576900000000002e-02,3.1292199999999999e-02,-3.2469000000000000e-03,-5.6982800000000000e-03,8.7245299999999994e-03,3.8632100000000003e-01,2.2523099999999999e-01,1.6646300000000000e-01,4.7316500000000000e-01,8.8208200000000003e-01,1.2705700000000000e+00,4.2645000000000000e-01,3.6232199999999998e-01,4.6114300000000003e-01,8.7383599999999995e-01,7.5576500000000002e-01,6.5000300000000000e-01,1.2044900000000000e-01,1.0131900000000001e-01,1.0883300000000000e-01,8.2782999999999995e-01,7.1890600000000004e-01,6.6188700000000000e-01,1.1155900000000001e-01,5.8821100000000001e-02,4.8021300000000003e-02
2.5000000000000000e+01,2.0549999999999999e-01,1.1000000000000001e+00,1.5242640690000000e+00,-7.5610800000000006e-02,-3.5310099999999997e-02,-1.2615400000000001e-02,1.8471199999999999e-01,6.2931000000000001e-02,2.8105399999999999e-02,4.4573599999999996e-03,-1.0835800000000000e-02,-1.6621400000000001e-02,3.7770300000000001e-01,2.2880700000000001e-01,1.8421399999999999e-01,4.1404000000000002e-01,8.2432399999999995e-01,1.2264500000000000e+00,3.9651300000000000e-01,3.2659600000000000e-01,3.8388499999999998e-01,8.9041499999999996e-01,7.7200400000000002e-01,6.5884699999999996e-01,1.1268900000000000e-01,9.3499499999999999e-02,9.6438200000000002e-02,8.4419500000000003e-01,7.2810699999999995e-01,6.6548700000000005e-01,1.1106500000000000e-01,5.7037499999999998e-02,4.3230200000000003e-02
2.6000000000000000e+01,1.3400000000000001e-01,9.0200000000000002e-01,1.6699999999999999e+00,-8.2291500000000004e-02,-3.8866100000000001e-02,-1.2340800000000001e-02,1.9819999999999999e-01,6.4053899999999997e-02,2.9179600000000000e-02,2.2618699999999999e-02,-1.1823100000000000e-02,-6.0689000000000003e-03,4.0420800000000001e-01,2.5072299999999997e-01,1.6472600000000001e-01,4.7602499999999998e-01,9.2822800000000005e-01,1.3069000000000000e+00,4.0888900000000000e-01,3.4944399999999998e-01,5.2490099999999995e-01,8.7293299999999996e-01,7.4187899999999996e-01,6.4219899999999996e-01,1.1608800000000000e-01,9.8821099999999995e-02,1.0687199999999999e-01,8.2498099999999996e-01,7.0982599999999996e-01,6.5754599999999996e-01,1.0987300000000000e-01,5.5208899999999998e-02,4.6858999999999998e-02
2.7000000000000000e+01,2.7500000000000002e-01,1.6399999999999999e+00,7.5400000000000000e-01,-8.6727600000000002e-02,-2.7665900000000000e-02,-9.5339499999999994e-03,1.6427800000000001e-01,5.0039500000000001e-02,2.8213100000000001e-02,8.6364900000000001e-03,-2.6042800000000000e-03,-2.6371499999999999e-02,3.7998199999999999e-01,2.0856700000000000e-01,1.7897500000000000e-01,5.5117300000000002e-01,8.7006099999999997e-01,1.2037400000000000e+00,4.3458400000000003e-01,3.1405600000000000e-01,4.1184500000000002e-01,8.5183200000000003e-01,7.5825900000000002e-01,6.6608500000000004e-01,1.2306100000000000e-01,8.9672600000000005e-02,1.0150200000000000e-01,8.0405599999999999e-01,7.1877300000000000e-01,6.6933299999999996e-01,1.0570200000000000e-01,5.2308100000000003e-02,4.6228100000000001e-02
2.8000000000000000e+01,8.6599999999999996e-02,1.3700000000000001e+00,7.3699999999999999e-01,-9.6964099999999998e-02,-3.3481600000000000e-02,-1.1496200000000000e-02,1.9273799999999999e-01,5.9145999999999997e-02,3.8013699999999997e-02,2.2089700000000002e-03,2.3186299999999999e-03,-3.2512100000000002e-02,3.9218999999999998e-01,2.2961500000000001e-01,1.8111800000000000e-01,5.8546500000000001e-01,1.0636699999999999e+00,1.5127699999999999e+00,3.2967000000000002e-01,3.2754299999999997e-01,7.0272500000000004e-01,8.4225000000000005e-01,7.0233599999999996e-01,5.9609599999999996e-01,9.5668900000000001e-02,8.8210600000000000e-02,1.1544000000000000e-01,7.8256300000000001e-01,6.8613999999999997e-01,6.3710699999999998e-01,7.8127799999999997e-02,4.3659400000000001e-02,4.8483600000000002e-02
2.9000000000000000e+01,3.0399999999999999e-01,1.0100000000000000e+00,1.5200000000000000e+00,-2.0092599999999999e-02,-3.9300599999999998e-02,-1.1760600000000000e-02,7.7900600000000000e-02,6.4868999999999996e-02,2.8425800000000001e-02,7.6845999999999998e-03,5.8377799999999999e-03,1.2807300000000001e-03,2.0166200000000001e-01,2.3260100000000000e-01,1.5146799999999999e-01,1.6572899999999999e-01,5.4496000000000000e-01,8.4554399999999996e-01,2.9447600000000002e-01,3.1635400000000002e-01,3.2996500000000001e-01,9.5777800000000002e-01,8.5410799999999998e-01,7.6603800000000000e-01,8.2649100000000003e-02,9.2177499999999996e-02,9.3313900000000005e-02,9.3206199999999995e-01,7.9434899999999997e-01,7.2442799999999996e-01,9.7663899999999998e-02,7.6058500000000001e-02,5.4058099999999998e-02
3.0000000000000000e+01,2.1600000000000000e-01,1.1100000000000001e+00,1.0800000000000001e+00,-7.7606800000000004e-02,-3.0458099999999998e-02,-1.3099100000000001e-02,1.6716900000000001e-01,5.3357399999999999e-02,2.8756199999999999e-02,-1.7016600000000000e-03,5.1496199999999997e-03,-4.7733999999999997e-03,3.8160699999999997e-01,2.1264400000000000e-01,1.7510300000000001e-01,4.5937600000000001e-01,8.3169999999999999e-01,1.1906300000000001e+00,4.1036299999999998e-01,3.1324700000000000e-01,4.0458000000000000e-01,8.7762200000000001e-01,7.6958300000000002e-01,6.6938200000000003e-01,1.1642300000000000e-01,9.0252200000000005e-02,1.0014099999999999e-01,8.3055500000000004e-01,7.2608600000000001e-01,6.7077299999999995e-01,1.1053900000000000e-01,5.4566000000000003e-02,4.6133399999999998e-02
